"time","humidity","LDR","MoistureLevel","temperature"
"2196174","60","2352","3583","31.89999962"
"50104","67","2037","2642","32.29999924"
"1030507","60","2294","3583","31.89999962"
"69430","64","1989","2491","33.20000076"
"15498938","61","4095","1401","31.70000076"
"701807","61","2379","3569","31.89999962"
"6464404","61","2938","3439","32.20000076"
"1443430","59","2320","3623","31.70000076"
"6436","65","1821","2587","32.70000076"
"10044119","61","3999","1426","31.89999962"
"1984138","60","2303","3625","31.89999962"
"870214","60","2357","3642","31.89999962"
"295314","60","2775","3493","31.79999924"
"65449","64","1947","2864","33.29999924"
"296725","65","1931","2191","33"
"1157652","61","2759","3513","31.89999962"
"5371429","61","2880","3426","32.40000153"
"16230928","61","4095","1425","31.60000038"
"2280345","62","613","1707","32.40000153"
"2903272","60","2409","3681","31.79999924"
"16050440","61","4095","1405","31.60000038"
"1091377","60","2266","3600","31.70000076"
"41187","65","1983","3125","32.70000076"
"2286453","60","2318","3633","32"
"696552","66","2426","1831","31.39999962"
"1259792","59","2339","3619","31.60000038"
"2617182","60","2310","3607","31.79999924"
"260508","61","2390","3583","31.89999962"
"2759214","60","2341","3615","31.79999924"
"49375","null","2045","2859","null"
"1668701","63","463","1715","32.5"
"285859","61","2288","3643","31.89999962"
"3777016","61","2848","3482","31.89999962"
"1387939","62","438","1703","32.59999847"
"32244","70","1999","1819","32.09999847"
"543541","61","2320","3728","31.89999962"
"279771","61","2397","3568","31.89999962"
"1671688","59","2336","3626","31.79999924"
"94768","60","2768","3521","31.70000076"
"3596524","61","2851","3488","31.89999962"
"2108931","60","2293","3611","31.89999962"
"399487","61","2368","3647","31.89999962"
"544568","61","2314","3631","31.89999962"
"226749","65","2047","2175","33.20000076"
"20622843","63","2802","1424","31.70000076"
"159063","65","2151","3505","32.59999847"
"366184","61","2797","3503","31.89999962"
"22818796","68","2742","1413","32"
"1911940","62","2913","3437","31.89999962"
"2777476","60","2337","3602","31.79999924"
"5592029","61","2895","3425","32.29999924"
"19329344","62","2805","1411","31.5"
"1258790","59","2359","3614","31.60000038"
"575733","63","405","1714","32.09999847"
"635896","63","400","1735","32.20000076"
"2158630","60","2405","3651","32"
"113512","65","2132","3008","32.79999924"
"4709552","61","2899","3490","31.89999962"
"21702","67","2013","2465","32.29999924"
"1358711","66","2816","1418","31.79999924"
"8018621","62","3502","3439","32.20000076"
"40359","71","1535","2868","32.20000076"
"64842","66","2438","3165","31.10000038"
"20703061","63","2771","1410","31.79999924"
"1371390","59","2285","3617","31.70000076"
"339878","70","2129","1488","31.10000038"
"1020361","60","2268","3625","31.89999962"
"69791","70","1962","1701","32.20000076"
"2012542","60","2349","3629","31.89999962"
"6213722","61","2974","3460","32.20000076"
"1922271","60","2352","3614","31.89999962"
"802253","61","2277","3606","31.89999962"
"12781557","61","3984","1411","31.70000076"
"1395737","59","2288","3606","31.70000076"
"77003","64","2287","3057","32.79999924"
"10796988","62","3326","3466","31.79999924"
"50860","65","2247","3024","32.59999847"
"1844149","60","2346","3663","31.89999962"
"1999365","60","2374","3632","31.89999962"
"35312","65","2176","3411","32.59999847"
"286886","61","2395","3663","31.89999962"
"648505","62","2864","3479","31.89999962"
"20271886","62","2800","1426","31.5"
"9633000","62","3734","1412","32"
"18827981","62","2752","1424","31.5"
"2155598","60","2381","3607","32"
"86024","73","2001","1701","32.20000076"
"12270164","61","3883","1398","31.79999924"
"425863","61","2400","3709","31.89999962"
"426890","61","2291","3629","31.89999962"
"2049064","60","2382","3611","31.89999962"
"21435047","65","2791","1423","31.89999962"
"11968","65","2635","3344","32.59999847"
"5612085","61","2892","3438","32.20000076"
"93114","73","2147","2895","32.20000076"
"2955023","60","2474","3603","31.79999924"
"1245589","59","2265","3633","31.60000038"
"71348","65","2035","3167","32.59999847"
"2119914","62","450","1735","32.40000153"
"16742314","62","2739","1405","31.60000038"
"10966621","60","3756","1425","31.89999962"
"17023077","61","2718","1407","31.60000038"
"215961","null","2621","3503","null"
"1220058","62","2950","3489","31.89999962"
"224784","63","428","1728","31.79999924"
"33604","65","2258","3012","32.59999847"
"1556034","59","2364","3611","31.70000076"
"205747","61","2708","3521","31.89999962"
"2504583","60","2323","3617","31.89999962"
"1018332","60","2374","3575","31.89999962"
"2135309","60","2304","3643","31.89999962"
"149921","65","2171","3483","32.59999847"
"596298","61","2396","3618","31.89999962"
"182123","64","2025","3345","33.20000076"
"1179658","60","2352","3620","31.60000038"
"22497928","67","2792","1426","31.89999962"
"85531","60","2389","3621","31.89999962"
"9562809","62","3923","1405","32.09999847"
"568916","61","2388","3603","31.89999962"
"19840723","62","2770","1411","31.5"
"9983955","61","4015","1412","31.89999962"
"25368","60","2415","3611","31.89999962"
"987704","66","2794","1392","31.70000076"
"40486","64","2465","2949","32.90000153"
"5872793","61","2917","3429","32.20000076"
"189470","70","2207","1520","31.10000038"
"1725466","59","2341","3634","31.89999962"
"545653","63","398","1738","32.09999847"
"1436316","59","2315","3637","31.70000076"
"816385","63","400","1725","32.20000076"
"14576427","61","4095","1407","31.79999924"
"1193862","60","2387","3506","31.60000038"
"13864500","61","4095","1409","31.70000076"
"7557371","62","3457","3462","32.29999924"
"9432456","63","3600","1424","32.09999847"
"1937474","60","2299","3606","31.89999962"
"19750480","62","2767","1424","31.5"
"104457","64","606","1729","31.60000038"
"21134232","64","2810","1415","31.89999962"
"1123843","60","2398","3583","31.70000076"
"2253988","60","2395","3632","31.89999962"
"2785592","60","2338","3568","31.79999924"
"34726","null","2705","3473","null"
"1748786","59","2398","3607","31.89999962"
"1007244","60","2736","3498","31.79999924"
"375136","61","2406","3611","32"
"19710373","62","2723","1405","31.5"
"126602","65","2199","3516","32.59999847"
"3145297","61","2835","3443","31.89999962"
"17093268","61","2753","1406","31.60000038"
"781964","61","2271","3600","31.89999962"
"2236754","60","2339","3644","32"
"840806","61","2368","3630","31.89999962"
"2535020","60","2395","3583","31.89999962"
"2761243","60","2295","3630","31.79999924"
"17845312","61","2751","1406","31.5"
"2285450","60","2383","3627","32"
"15869948","61","4095","1417","31.60000038"
"896945","60","2783","3487","31.79999924"
"623703","61","2271","3601","31.89999962"
"13694036","61","4095","1427","31.79999924"
"1837059","60","2321","3619","31.89999962"
"75104","58","2925","3459","31.89999962"
"907485","66","2727","1413","31.70000076"
"475580","61","2301","3611","32"
"1492128","59","2301","3623","31.70000076"
"1179948","62","2939","3472","31.89999962"
"95558","60","2494","3613","31.89999962"
"764705","61","2355","3630","31.89999962"
"143468","65","2468","2482","32.70000076"
"2019656","60","2405","3583","31.89999962"
"2466032","60","2353","3607","31.89999962"
"14305690","61","4095","1411","31.79999924"
"16000303","61","4095","1414","31.60000038"
"2994886","61","2866","3461","31.89999962"
"355138","63","411","1722","32"
"12841720","61","3956","1409","31.70000076"
"4769715","61","2918","3443","32"
"7196391","62","3227","3435","32.29999924"
